season,region,baseline
2018/2019,Region2,3.1
2018/2019,Region3,2
2018/2019,Region4,2.2
2018/2019,Region5,1.8
2018/2019,Region6,4
2018/2019,Region7,1.6
2018/2019,Region8,2.2
2018/2019,Region9,2.3
2018/2019,Region10,1.1
2019/2020,National,2.4
2019/2020,Region1,1.9
2019/2020,Region2,3.2
2019/2020,Region3,1.9
2019/2020,Region4,2.4
2019/2020,Region5,1.9
2019/2020,Region6,3.8
2019/2020,Region7,1.7
2019/2020,Region8,2.7
2019/2020,Region9,2.4
2019/2020,Region10,1.5
